Индекс,Модель,Уровень,Наблюдений,Исключений,Ожидаемо,Доля,Kupiec p-value,Independence p-value,Вердикт
0,"GARCH(1,1)-t",95%,1083,62,54.150000000000006,0.057248384118190214,0.28423629889848356,0.8046570101476925,ACCEPT
1,"GARCH(1,1)-t",99%,1083,11,10.83,0.010156971375807941,0.9587005527848544,0.6345349778842637,ACCEPT
2,GARCH-normal,95%,1083,56,54.150000000000006,0.05170821791320406,0.7975157066199178,0.9500442695600084,ACCEPT
3,Historical,95%,1083,59,54.150000000000006,0.05447830101569714,0.5047781525745592,0.8970490265125899,ACCEPT
4,Historical,99%,1083,13,10.83,0.012003693444136657,0.5205736658100382,0.5739056702992413,ACCEPT
