Индекс,Доходность,GARCH sigma,VaR 95% GARCH-t,ES 95% GARCH-t,Exception 95% GARCH-t,VaR 99% GARCH-t,ES 99% GARCH-t,Exception 99% GARCH-t,VaR 95% GARCH-normal,Exception 95% GARCH-normal,VaR 95% Historical,Exception 95% Historical,VaR 99% Historical,Exception 99% Historical
2022-02-03,-0.4624469413623581,0.6610381806008016,-1.0307193819491516,-1.408558121828625,0,-1.6288407532158078,-2.0329094381486637,0,-1.0546238316967524,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-04,-0.6621851447332223,0.6556293787653081,-1.0220182876186807,-1.3967654437897468,0,-1.6152456602242995,-2.016008140600644,0,-1.0457271443801794,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-07,0.4016728302955354,0.6588563389278468,-1.0272094714758278,-1.40380110591946,0,-1.62335666610396,-2.0260916702882676,0,-1.051035021507559,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-08,-0.18160043944589596,0.6497109435287161,-1.0124973502930719,-1.383861624540707,0,-1.6003695971232839,-1.9975143525132497,0,-1.0359921847153934,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-09,0.2637042227652586,0.637742876372244,-0.9932444206333971,-1.3577679411304935,0,-1.5702877063701146,-1.960116816009167,0,-1.0163064660454717,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-10,-0.9893232739137509,0.6265518009935119,-0.9752414311559917,-1.333368313844432,1,-1.5421587944453976,-1.925147205250445,0,-0.9978987851192768,0,-1.0960257939193405,0,-1.74810654049851,0
2022-02-11,1.6799439721958516,0.6518261504684674,-1.0159000660277229,-1.3884733583746962,0,-1.6056861969760459,-2.0041239017168784,0,-1.0394713905219963,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-14,-0.35516503308453085,0.7294375322077459,-1.1407528475070146,-1.557687551247837,0,-1.8007634033586102,-2.246642133255826,0,-1.167130753268564,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-15,-1.0481056745271222,0.7175929558650295,-1.121698576487851,-1.5318631118313344,0,-1.7709919083543826,-2.2096304779600424,0,-1.1476481589115433,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-16,0.8072987444295668,0.7386873056294447,-1.1556328807427565,-1.5778546054702471,0,-1.8240128278417143,-2.2755456090359907,0,-1.1823452766297247,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-17,1.0497847696839484,0.7405432125431338,-1.1586184626915375,-1.5819009938144537,0,-1.828677673743373,-2.2813449035791646,0,-1.1853979718479903,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-18,0.4884892102267809,0.7556338806604467,-1.1828946944323497,-1.6148028075454053,0,-1.8666082621802746,-2.3284998705767395,0,-1.2102199120338735,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-22,0.23440021756150736,0.74442405284751,-1.1648615380706875,-1.5903622947867855,0,-1.8384322157709558,-2.2934716626499423,0,-1.1917813860982631,0,-1.0848240339143043,0,-1.74810654049851,0
2022-02-23,-0.4648044136604354,0.728466074056444,-1.1391900708940659,-1.5555695048569764,0,-1.7983216307986247,-2.2436065435318953,0,-1.1655328468049635,0,-1.0741971306105533,0,-1.722056471207364,0
2022-02-24,-0.2900008473729479,0.7197744190732648,-1.1252078781281423,-1.53661930258315,0,-1.7764750441902897,-2.2164470632027293,0,-1.1512363465816702,0,-1.0741971306105533,0,-1.722056471207364,0
2022-02-25,-0.13007457759477908,0.706850618266331,-1.1044174677286664,-1.5084418565257534,0,-1.743990904612274,-2.1760630725273904,0,-1.1299785859503868,0,-1.0741971306105533,0,-1.722056471207364,0
2022-02-28,1.6013197471730665,0.6918988381718113,-1.0803646639899238,-1.4758428569458966,0,-1.7064094130072973,-2.129342099577014,0,-1.1053850962325353,0,-1.0741971306105533,0,-1.722056471207364,0
2022-03-01,1.4753095394910354,0.7557017325805072,-1.1830038472493518,-1.6149507434232448,0,-1.8667788088541835,-2.3287118926705466,0,-1.2103315185106807,0,-1.0611479653952305,0,-1.722056471207364,0
2022-03-02,-2.2546682944418563,0.8003045803078448,-1.2547560757995757,-1.7121972388326332,1,-1.9788886403810253,-2.4680858286838574,1,-1.2836966743673561,1,-1.0611479653952305,1,-1.722056471207364,1
2022-03-03,0.8037139679350319,0.9223767548646515,-1.451132563282333,-1.9783482082779458,0,-2.2857186214472534,-2.849534106374393,0,-1.484487533436973,0,-1.0741971306105533,0,-1.9167356242991525,0
2022-03-04,1.6460203116857721,0.9138476535818543,-1.4374118692963258,-1.9597524178518697,0,-2.264280615655894,-2.8228825700485847,0,-1.4704584102573275,0,-1.0741971306105533,0,-1.9167356242991525,0
2022-03-07,0.3609959161133764,0.9554177872592283,-1.5042853960880724,-2.0503867611686233,0,-2.368767681405785,-2.952779952086459,0,-1.5388351954094137,0,-1.0741971306105533,0,-1.9167356242991525,0
2022-03-08,0.861241062308454,0.9333115814577055,-1.4687233274787856,-2.002189142618829,0,-2.3132034487528235,-2.8837029969172914,0,-1.5024737226186433,0,-1.0741971306105533,0,-1.9167356242991525,0
2022-03-09,-1.9952647474703564,0.9265188695165953,-1.4577959485218666,-1.9873791593048356,1,-2.2961298799084404,-2.862477289419317,0,-1.4913007057454715,1,-1.0741971306105533,1,-1.9167356242991525,1
2022-03-10,-0.5639026484725135,1.0021187032234948,-1.579412769484885,-2.152207623318412,0,-2.4861510344353754,-3.098709882685427,0,-1.6156513664151935,0,-1.0828782339473608,0,-2.050540205434578,0
2022-03-11,-0.18420967017993048,0.9841092950620843,-1.5504411850167528,-2.1129421522256107,0,-2.440884155351411,-3.04243450502187,0,-1.5860285260816478,0,-1.0828782339473608,0,-2.050540205434578,0
2022-03-14,-1.9398313263856253,0.9594854234584801,-1.5108289684629141,-2.0592553286510347,1,-2.3789917373180516,-2.9654904066033008,0,-1.5455258615648721,1,-1.0828782339473608,1,-2.050540205434578,0
2022-03-15,-1.0278250080872413,1.0259198852559124,-1.6177015321978716,-2.204100756990119,0,-2.545975611648605,-3.173083259961832,0,-1.6548008270069476,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-16,0.8002186146351392,1.0243299747898156,-1.615143856512338,-2.200634314179387,0,-2.5419793512397066,-3.1681151449005855,0,-1.6521856570102602,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-17,-0.12833898953669742,1.0107105625482091,-1.5932344218086762,-2.170940243564694,0,-2.5077467833724025,-3.1255575238736855,0,-1.6297837173877066,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-18,0.1709882276484304,0.9846564726455286,-1.5513214250244056,-2.1141351500961014,0,-2.4422594932462065,-3.044144312744666,0,-1.5869285531143626,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-21,-0.7787877994614433,0.9593438203454592,-1.5106011727178754,-2.0589465948552794,0,-2.3786358160719128,-2.965047928505622,0,-1.545292945170832,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-22,-1.0082082160643606,0.9505193487690374,-1.4964053190078825,-2.039706815819359,0,-2.35645539324793,-2.937473425990401,0,-1.5307779810924245,0,-1.1306368520761085,0,-2.050540205434578,0
2022-03-23,1.7630865297129168,0.9524681240625751,-1.4995402975435521,-2.0439556828153735,0,-2.361353665016983,-2.9435629134761823,0,-1.5339834312021134,0,-1.1306368520761085,0,-2.050540205434578,0
