Индекс,Параметр,Коэффициент,Ст. ошибка,p-value
0,mu,0.0326872172178788,0.009824961413618126,0.0008780014306727386
1,omega,0.0075904803348997045,0.0020454344109672967,0.00020649265767602924
2,alpha[1],0.04602521280344542,0.006691441572595562,6.060467487877556e-12
3,beta[1],0.9405098108506662,0.008689560562111094,0.0
4,nu,7.778529852151755,0.8512831326726962,6.396112536790323e-20
5,alpha[1] + beta[1],0.9865350236541116,,
