Индекс,GLD,TLT
2004-11-18,44.380001068115234,44.16169738769531
2004-11-19,44.779998779296875,43.809242248535156
2004-11-22,44.95000076293945,44.037620544433594
2004-11-23,44.75,44.0921745300293
2004-11-24,45.04999923706055,44.0921745300293
2004-11-26,45.290000915527344,43.804298400878906
2004-11-29,45.400001525878906,43.33769607543945
2004-11-30,45.119998931884766,43.154029846191406
2004-12-01,45.380001068115234,43.08676528930664
2004-12-02,44.95000076293945,42.91230392456055
2004-12-03,45.599998474121094,43.58017349243164
2004-12-06,45.16999816894531,43.72974395751953
2004-12-07,45.11000061035156,43.78451919555664
2004-12-08,44.0099983215332,44.46733856201172
2004-12-09,43.779998779296875,44.173301696777344
2004-12-10,43.439998626708984,44.282936096191406
2004-12-13,43.90999984741211,44.377620697021484
2004-12-14,43.54999923706055,44.552066802978516
2004-12-15,43.9900016784668,44.95579147338867
2004-12-16,43.68000030517578,44.29290008544922
2004-12-17,44.189998626708984,44.23306655883789
2004-12-20,44.34000015258789,44.31285095214844
2004-12-21,44.220001220703125,44.44740295410156
2004-12-22,44.02000045776367,44.29790115356445
2004-12-23,44.27000045776367,44.15333557128906
2004-12-27,44.47999954223633,43.80944061279297
2004-12-28,44.369998931884766,43.77456283569336
2004-12-29,43.65999984741211,43.72974395751953
2004-12-30,43.83000183105469,44.02375030517578
2004-12-31,43.79999923706055,44.30139923095703
2005-01-03,43.02000045776367,44.396507263183594
2005-01-04,42.7400016784668,43.931182861328125
2005-01-05,42.66999816894531,44.166358947753906
2005-01-06,42.150001525878906,44.19637680053711
2005-01-07,41.84000015258789,44.296409606933594
2005-01-10,41.95000076293945,44.36647415161133
2005-01-11,42.209999084472656,44.626609802246094
2005-01-12,42.599998474121094,44.68666458129883
2005-01-13,42.599998474121094,45.11690902709961
2005-01-14,42.31999969482422,45.111873626708984
2005-01-18,42.31999969482422,45.26200485229492
2005-01-19,42.2599983215332,45.39211654663086
2005-01-20,42.25,45.48213195800781
2005-01-21,42.7400016784668,45.532161712646484
2005-01-24,42.77000045776367,45.72726058959961
2005-01-25,42.2400016784668,45.297000885009766
2005-01-26,42.689998626708984,45.38206100463867
2005-01-27,42.619998931884766,45.297000885009766
2005-01-28,42.689998626708984,45.752296447753906
2005-01-31,42.220001220703125,45.882381439208984
2005-02-01,42.099998474121094,45.80955123901367
2005-02-02,42.15999984741211,45.91503143310547
2005-02-03,41.68000030517578,45.8899040222168
2005-02-04,41.470001220703125,46.52764892578125
2005-02-07,41.27000045776367,46.87419891357422
2005-02-08,41.2599983215332,47.14036560058594
2005-02-09,41.310001373291016,47.26591491699219
2005-02-10,41.75,46.62812042236328
2005-02-11,42.08000183105469,46.59797668457031
2005-02-14,42.54999923706055,46.74364471435547
2005-02-15,42.58000183105469,46.50759506225586
2005-02-16,42.52000045776367,46.33182907104492
2005-02-17,42.72999954223633,46.04058837890625
2005-02-18,42.75,45.6287841796875
2005-02-22,43.56999969482422,45.42786407470703
2005-02-23,43.41999816894531,45.578575134277344
