Индекс,GLD,TLT
2004-11-19,0.8972642338663128,-0.8013033088110522
2004-11-22,0.37891939800971386,0.5199475613490545
2004-11-23,-0.44593331698337124,0.12380374314426845
2004-11-24,0.6681522398089168,0.0
2004-11-26,0.5313310663947579,-0.6550368834685738
2004-11-29,0.2425860874068153,-1.070911418994358
2004-11-30,-0.6186555139933159,-0.4247030646241434
2004-12-01,0.574591937179525,-0.15599246370356923
2004-12-02,-0.9520724998133279,-0.4057290518769463
2004-12-03,1.435690516738486,1.544372093725599
2004-12-06,-0.947457392853579,0.34261998126154936
2004-12-07,-0.13291441789489156,0.12518015513438563
2004-12-08,-2.4687122265904193,1.547464290660372
2004-12-09,-0.5239778472644119,-0.6634382217423518
2004-12-10,-0.7796420199883691,0.24788405722024898
2004-12-13,1.0761437086444836,0.21358908685193967
2004-12-14,-0.8232395318801267,0.39232417118446605
2004-12-15,1.0052687736461952,0.9021049460564257
2004-12-16,-0.7072035092997364,-1.4855199930019047
2004-12-17,1.160814964240986,-0.13517736770469746
2004-12-20,0.3388719563795384,0.18021026185151
2004-12-21,-0.2710004594953297,0.30318098269663807
2004-12-22,-0.4533116537217996,-0.3369236118258456
2004-12-23,0.5663170587009159,-0.3268822830620799
2004-12-27,0.4732382566559501,-0.7819141812672292
2004-12-28,-0.24760983329743524,-0.07964417603671947
2004-12-29,-1.6131193691017565,-0.10243811701515781
2004-12-30,0.38862085801194546,0.670075762117861
2004-12-31,-0.06847562433134335,0.6286993948493524
2005-01-03,-1.7968665483389934,0.21445391990932983
2005-01-04,-0.6529845317733152,-1.053641742620659
2005-01-05,-0.1639234874652118,0.5339005839142263
2005-01-06,-1.2261333638892147,0.06794233719391585
2005-01-07,-0.738189724541849,0.2260813633866654
2005-01-10,0.2625627696485555,0.15804710221924978
2005-01-11,0.6178687004495309,0.5846215907836516
2005-01-12,0.9197079351983994,0.1344812146192087
2005-01-13,0.0,0.9581973642868835
2005-01-14,-0.6594437117674268,-0.01116140603421023
2005-01-18,0.0,0.33224503853728216
2005-01-19,-0.14188078686103722,0.287051005888328
2005-01-20,-0.023661866710300572,0.19810989867616868
2005-01-21,1.1530935359385541,0.10993824741136748
2005-01-24,0.07016437791640406,0.4275704782227052
2005-01-25,-1.2469253807297243,-0.9453807196766473
